video_id,surprise,fear,sadness,disgust,anger,neutral,joy
0nR9JS2WsNg,0.37649916666666666,0.36996848484848494,0.2056040151515152,0.017565757575757575,0.010773636363636364,0.010281515151515151,0.009295151515151515
0UD2gbjB3vw,0.2103223259259259,0.28580134074074076,0.3743025111111111,0.0328606962962963,0.033080548148148155,0.032991,0.03063822222222223
0uIWGOKW5OM,0.3030354545454545,0.30005363636363636,0.2530563636363637,0.052036666666666676,0.033221363636363646,0.030494696969696977,0.028065151515151522
0wNboYbgYjo,0.36194541666666674,0.3707190740740743,0.21821652777777784,0.013677962962962963,0.013159166666666666,0.012149537037037037,0.010125925925925927
15STU4dGojE,0.2731631558185405,0.2642746351084813,0.2543572781065088,0.07372994082840237,0.04806392504930966,0.0456249506903353,0.040736489151873764
17XqBdCiHOI,0.2792654101469893,0.26433513513513524,0.2970290422000949,0.0711425320056899,0.029587837837837846,0.029439331436699866,0.029141678520625894
1akixU65dDY,0.3834543703703704,0.3848872777777779,0.2017621851851853,0.005789944444444446,0.011363777777777776,0.005950777777777779,0.0067882777777777785
1bJZYqGfYGE,0.2847937037037037,0.2991040740740741,0.26996175925925925,0.03497120370370371,0.05387212962962964,0.02424731481481482,0.03302055555555555
1bQSOBJCPQE,0.3564204999999999,0.3600520555555556,0.23499261111111108,0.018351833333333335,0.011338111111111115,0.009404888888888891,0.009425722222222222
1ruBY0VhY1I,0.3452971739130436,0.3303121739130436,0.21596137681159427,0.04049101449275363,0.024005289855072467,0.022979782608695654,0.02092434782608696
2VT2apoX90o,0.384315806451613,0.3872322580645162,0.19075258064516137,0.00752258064516129,0.011557096774193547,0.010434516129032255,0.008184516129032256
2xD9uTlh5hI,0.3938831666666667,0.39462533333333333,0.19800750000000003,0.0021783333333333333,0.004539166666666666,0.0029066666666666663,0.0038585
2_3KPFrrxfI,0.26581126666666666,0.2562006666666667,0.23339073333333338,0.06730653333333335,0.077272,0.04796666666666667,0.05200466666666667
31AWe-FN7CA,0.3123305631492616,0.318823182066703,0.25867042099507925,0.04007392017495901,0.02491569163477311,0.023748715144887928,0.021409732094040467
36mnx8dBbGE,0.39711011494252885,0.39821839080459787,0.20346735632183913,0.0005471264367816092,0.0002188505747126437,0.0002188505747126437,0.0002188505747126437
3EGojp4Hh6I,0.3436822489959835,0.3432149799196783,0.2060204016064255,0.023402530120481928,0.03917614457831325,0.020572048192771086,0.023916024096385546
3hQpV9Q0A7E,0.2648808174027687,0.24300230718523402,0.2702217534607779,0.08449472643375085,0.05011707317073172,0.04439327620303231,0.04282603823335532
3oiY7W7nDeE,0.39109435185185193,0.3928587962962964,0.19732453703703712,0.0037913888888888884,0.0058800000000000015,0.004971666666666668,0.004078611111111112
3Rp5nifbB2Y,0.3450426520270271,0.33776630067567576,0.2044897804054055,0.031326435810810814,0.034350844594594594,0.023227364864864864,0.023775929054054054
4bG17OYs-GA,0.38541990740740756,0.38847699074074094,0.1907996296296297,0.006697361111111111,0.01107648148148148,0.009806018518518518,0.0077233796296296295
