video_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
6FeyhlLZYrg,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Ns5rZk1VOCw,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
TaVYcH7QlbA,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0
fvA6-W8ZQ0U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTc5RSuQkxQ,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0
JcR2Fls4MkA,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0
9YPPDyHWaDk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_WdAVB5bLfo,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0
Q_P8WCbhC6s,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
ff1kB40tfN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eHi-lmQTkwI,0.0,0.2727272727272727,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091
7-8e1sIOVJw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3jsfXDZLIY,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Cf9L7KMwmsk,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5mO-eicPImk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y8nIZqh2854,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
GhQTzpMjxUY,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
bVDGukfxFAk,0.1,0.1,0.1,0.3,0.1,0.1,0.2,0.0
yFkx4aWCN6s,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gxUajlywjp8,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
lci71HjGvaM,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
tIzrvxBM3O0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
A-EzEjKEKkY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7x43dvfqYSE,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
JdSSm6waqgc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eFsVTbeF1fI,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
IT6PxFxp0TI,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0
3rW2iV-_cE4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
E8gs5f_PpcY,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0
EjwFuLq_De8,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0
awWy3gRMhow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JPaYaT6BvmY,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0
DzfpyUB60YY,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0
LZnYcaMSubQ,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0
2PYaZxr0YRU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zk1g90qrlIw,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0
BXYNHHj4KDw,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
2lII1f9boWY,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0
hdQValjmUTg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-f6S1VHowg,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.0
