video_id,surprise,fear,sadness,joy,disgust,anticipation,trust,anger
-r3iXrZDDY0,0.3702827309236948,0.38107590361445787,0.2165160642570281,0.016062650602409637,0.004015662650602409,0.008031325301204819,0.004015662650602409,0.0
00NUx_vviyc,0.17892553407934897,0.2789953204476094,0.3727965412004069,0.12383723296032555,0.013118921668362158,0.017598982706002037,0.00870264496439471,0.005975178026449643
-4bVq0I37vU,0.20890746666666665,0.3195536,0.4350166666666667,0.018916933333333337,0.004432333333333333,0.008739866666666667,0.0043699333333333335,6.24e-05
-5UA0CC_wFE,0.24746344410876137,0.3330340634441088,0.3822907854984895,0.018147960725075532,0.004393957703927493,0.008559063444108762,0.004279531722054381,0.0018308157099697884
03asob6xEYA,0.2232244160583942,0.3176511739659368,0.3923172141119221,0.034769847931873474,0.008073920316301704,0.015887840632603407,0.007943920316301704,0.00013
-6jTKWO9yVE,0.25901468459152016,0.332041468459152,0.34123578076525335,0.03423236814891417,0.008814891416752844,0.013247983453981387,0.006839917269906929,0.0045698035160289556
-16MdQ9Blgk,0.25425010845986984,0.2870008134490239,0.21495260303687636,0.1637793383947939,0.020952494577006507,0.03273091106290672,0.016378036876355747,0.009901626898047723
07XbSk7Rjt4,0.36742634315424616,0.3768538417099943,0.18908145580589253,0.022905257076834197,0.012500288850375504,0.006250144425187752,0.004163778162911611,0.02081889081455806
-r1lJuk4EjA,0.30274639351259075,0.35734831412718737,0.32132385830132315,0.006547972684592404,0.0007802390098164746,0.00018967136150234743,9.483568075117372e-05,0.010966453265044815
-52CAvr6BF4,0.12429027205276175,0.23762473206924978,0.46472201154163234,0.10952390766694146,0.026688417147568012,0.019484253915910965,0.009358120362737017,0.008278276999175598
00RniQTjuUg,0.2466638865721435,0.33877189324437035,0.40643244370308595,0.005421184320266889,0.0027105921601334446,0.0,0.0,0.0
00xM_n61VfQ,0.2575433227704845,0.32308175645088283,0.3181680398370303,0.06424481665912175,0.009107197827071072,0.01331770031688547,0.006732367587143504,0.007784789497510185
-9j3s9ACD4Q,0.22322265795206972,0.288437037037037,0.2972222222222222,0.09353202614379089,0.024701525054466236,0.04575337690631809,0.023078867102396518,0.004052287581699347
0-7FwzvXnKU,0.38975267042987405,0.39408171949630916,0.2072297003907946,0.00546461137646548,0.0009149370386452454,0.00164020842379505,0.000820104211897525,9.483282674772036e-05
